cbo,nome_cbo,salario_masc,salario_fem,diferenca,percentual_diferenca
252105,Administrador,7317.676154177312,5811.93596479692,1505.7401893803917,25.907721600869444
351305,Técnico em administração,6357.202897782309,5173.032360058254,1184.170537724055,22.89122617649196
317210,Técnico de suporte ao usuário de TI,2979.37180151786,2654.6227435055584,324.7490580123017,12.233341208531002
212405,Analista de desenvolvimento de sistemas,9766.352372950683,8826.876220198732,939.4761527519532,10.643359318918844
225125,Médico clínico,10818.073262953829,10133.350887974497,684.722374979332,6.757116994654841
322205,Técnico de enfermagem,3137.077542148698,2981.365319975947,155.7122221727509,5.222849448520692
